,weather_1h
8341,0
1101,4
18682,0
23367,0
19651,0
12825,4
11329,0
22655,0
5136,0
18122,0
25311,4
2994,0
17471,4
2857,0
1978,0
3007,0
19603,0
22277,0
23081,0
8739,0
27861,0
8608,0
7317,0
19765,0
16612,0
12748,4
15116,4
23624,0
27891,0
23799,0
12204,4
7286,0
9101,0
3287,0
12894,4
14442,4
2714,0
12087,0
22917,0
24212,0
20314,0
11331,0
26075,0
1046,0
481,4
4483,0
6000,2
17862,0
4011,0
12218,4
20387,0
22244,0
13420,0
20886,0
27050,0
1180,4
743,0
15197,0
6116,2
18423,4
14414,4
17695,0
8641,0
27978,0
7160,0
21313,0
4819,0
25531,0
13884,0
26470,0
9616,0
10284,0
16962,4
626,4
3361,0
8521,0
12488,0
24578,0
13309,0
14700,0
11640,0
23265,0
11863,0
7097,0
16869,4
22555,0
6726,4
12588,0
3345,0
3792,0
20266,0
281,0
22105,0
11780,0
18681,0
13299,0
15141,4
23826,0
20284,0
2258,0
148,0
9455,4
22100,0
13693,4
28080,4
19722,0
1511,1
15635,1
27777,0
13627,4
11133,0
20912,0
7109,0
8068,0
8874,0
10009,0
27303,0
12628,1
25979,0
12594,0
2247,0
4485,0
4607,0
3231,0
2157,0
5822,0
19290,0
8248,0
3904,0
19790,0
1623,0
238,0
14361,4
16945,4
15509,0
10065,0
11587,0
5372,0
10800,0
23617,0
2515,0
19079,0
27242,0
3889,0
5001,0
27179,0
20591,4
27590,0
16684,4
18132,0
5918,0
24951,0
24792,0
24299,0
4602,0
23208,0
5778,0
21451,0
5177,0
7872,0
18089,0
7516,0
15179,4
24246,0
13329,0
21782,4
21803,4
16535,4
25550,0
23737,0
25101,0
8923,0
18234,0
15359,0
8760,0
8422,2
22886,0
24714,0
27422,0
23582,0
21240,4
20901,0
23436,0
4301,0
1720,0
9828,0
18669,0
10175,0
14994,0
3458,0
6231,0
17122,4
1808,0
5074,0
5234,0
12495,0
8454,0
12274,4
22786,0
5078,0
15876,0
2120,0
13778,4
12435,0
6668,4
16303,4
4615,0
22773,0
9542,4
24092,0
6621,4
5028,0
11962,0
10709,0
13975,0
19402,0
3161,0
5928,0
27076,0
19283,0
26929,0
2338,0
8626,0
26534,0
10518,0
28483,0
695,0
25879,0
17947,0
18295,0
22095,0
10928,0
11359,0
3491,0
824,0
12398,4
7566,0
14127,0
21219,4
24854,0
11927,0
6614,4
15568,0
12339,4
15310,0
22998,0
21260,4
23055,0
26194,0
17308,4
1941,0
19713,0
5701,0
24539,0
20490,4
5443,0
19111,0
9505,4
14356,4
732,0
21066,4
21612,4
8196,0
20259,0
164,0
17081,4
10000,0
24828,0
2122,0
26696,0
25694,0
1694,0
3835,0
25203,4
16257,4
28401,0
804,0
1762,1
8372,0
5242,0
596,4
21490,0
17226,4
27343,0
18094,0
8276,0
8141,0
18561,0
7791,0
23423,0
1048,0
3299,0
11951,0
18019,0
26636,0
9405,4
11015,0
21165,0
10498,0
7617,0
22465,0
7696,0
7329,0
20214,0
20188,0
28158,0
23219,0
22013,0
7332,0
16765,4
19294,0
21286,0
14496,4
9751,0
15900,0
1492,0
21413,0
28111,4
28337,0
19281,0
17151,4
21481,0
14629,4
10292,0
14638,4
4198,0
4749,0
15947,0
24254,0
11675,0
12974,4
10677,0
2589,0
8053,0
8499,0
16642,0
14803,0
13533,4
27514,0
24217,0
23291,0
10482,0
10218,0
24886,0
24174,0
1207,4
5106,0
24482,0
7333,0
24121,0
23241,0
22179,0
26847,0
3680,0
13511,4
19251,0
558,4
4558,0
2289,0
11918,0
22522,0
23825,0
16833,4
9572,4
4269,4
18858,0
20394,0
15026,4
792,0
27823,0
26945,0
27913,0
4751,0
4503,0
16797,4
17627,0
14577,4
23005,0
9865,0
19173,0
15702,0
15448,0
27763,0
11454,0
25976,0
20015,0
20322,0
25896,0
20984,0
9037,0
21655,4
21139,0
15612,0
21123,0
19252,0
28188,0
28404,0
19571,0
7678,0
19250,0
5437,0
787,0
20148,0
11303,0
6012,4
19428,1
1900,0
26323,0
9472,4
12126,0
26256,0
9773,0
18086,0
27101,0
27615,0
7291,0
3514,0
27936,0
16902,4
1658,0
13185,4
16984,4
6917,0
19163,0
3043,0
14901,0
21272,4
2789,0
15929,0
1054,0
1277,4
28499,0
14661,4
28119,0
7111,0
13054,4
20844,0
14330,4
2221,0
21735,4
12195,4
27346,0
1540,0
19951,2
10926,0
11314,0
6138,4
27100,0
15316,0
18659,0
5290,0
16708,4
12292,4
3923,0
15595,0
26518,0
9629,0
26244,0
14554,4
17371,4
17437,4
7919,0
28506,0
2527,0
10624,0
17711,0
23248,0
28238,0
11830,0
26914,0
20149,0
3464,0
21533,0
12535,0
8197,0
8972,0
26702,0
27770,0
8298,0
25559,0
21588,4
26068,0
4154,1
12907,4
17821,0
26417,0
7806,0
27571,0
5705,0
2226,0
20073,0
17676,0
23427,0
15512,0
14283,4
14249,4
1310,0
1593,0
8028,0
11225,0
4206,0
6561,4
20180,0
12626,0
18497,4
9699,0
5140,0
21157,0
22242,0
11909,0
9743,0
24365,0
21836,1
10652,0
24302,0
23656,0
28562,0
12777,4
7292,0
28305,0
5850,0
19902,1
17654,0
5865,0
17271,4
24195,0
14621,4
13378,0
4341,0
7651,0
20911,0
2420,0
3689,0
15229,0
28276,0
3217,0
23836,0
27094,0
22686,0
17286,4
6452,4
14594,4
22913,0
27647,0
6331,0
22106,0
13178,4
13699,4
21795,4
10718,0
19853,0
25641,0
9979,0
18749,0
13863,4
17490,4
10160,0
9499,4
25549,0
777,0
27435,0
8571,0
17207,4
10463,0
21774,4
28205,0
21926,4
20818,0
20080,0
20419,4
13025,4
16952,4
39,0
2123,0
17796,0
24344,0
23606,0
27426,0
4916,0
27681,0
20296,0
4315,0
18266,0
10896,0
12929,4
477,4
8359,0
648,0
1060,0
11116,0
12850,4
21839,1
22170,0
8474,0
26574,0
27444,0
7061,0
11528,0
13664,4
2771,0
8589,0
3036,0
25044,0
4141,0
7034,0
23820,0
17488,4
25322,4
5503,0
1979,0
21302,0
22436,0
26864,0
769,0
28284,0
25411,4
2863,0
26544,0
11473,0
10289,0
13909,0
12026,0
27268,0
9604,0
25905,0
9903,0
19094,0
22863,0
8394,0
24864,0
28140,0
15287,0
20395,0
10759,0
26272,0
13516,4
2884,0
18972,0
11884,0
12164,4
2348,0
8731,0
25872,0
23516,0
26085,0
4119,1
18336,0
4212,0
21933,4
26383,0
7595,0
19536,0
22570,0
19997,0
17168,4
11788,0
6520,4
4377,0
2073,0
8081,0
18990,0
12300,4
13106,4
5798,0
19926,0
16801,4
8302,0
20831,0
25320,4
25075,0
21421,0
10434,0
2511,0
22787,0
4183,0
124,0
24885,0
16454,4
21087,0
21599,4
14211,4
25031,0
8260,0
21257,4
12868,4
15576,0
10865,0
28368,0
2197,0
535,4
27294,0
19065,0
12828,4
27163,0
27067,0
16512,4
3150,0
15915,0
904,0
3094,0
7143,0
8649,0
10962,0
1615,0
19994,0
8792,0
6024,4
6070,2
11575,0
6857,0
22752,0
21574,4
20439,0
27027,0
9168,0
20152,0
4956,0
995,0
21033,4
21047,4
20612,0
5601,0
17997,0
6411,0
15471,0
5307,0
10278,0
23850,0
279,0
20599,0
10357,0
1856,4
18806,0
26032,0
20656,0
26818,0
3663,0
27811,0
19653,0
16046,0
21360,0
22055,0
12034,0
21786,4
13471,0
7166,0
14829,0
11208,0
24663,0
18331,0
7390,0
21550,0
15415,0
1622,0
20736,0
7744,0
24335,0
10794,0
14425,4
12500,0
24913,0
19624,0
3495,0
7840,0
7099,0
11498,0
3184,0
25097,0
11309,0
7930,0
18334,0
4997,0
8436,1
8435,0
18357,0
15925,0
11984,0
3221,0
10639,0
4253,0
10618,0
12950,4
18254,0
17701,0
27459,0
26826,0
28480,0
2749,0
7835,0
15457,0
13776,4
9546,4
15414,0
14393,4
27878,0
8943,0
19008,0
23846,0
10947,0
6979,0
5552,0
691,0
6805,0
3972,0
11756,0
22394,0
327,0
13717,4
674,0
20988,0
25588,0
7735,0
23598,0
14021,0
14309,4
21870,4
26654,0
10788,0
17785,0
17891,0
26158,0
7193,0
10949,0
15029,4
19960,1
1828,4
23763,0
2072,0
3468,0
26719,0
21909,4
28079,4
27221,0
23184,0
1033,0
19954,2
13750,4
11020,0
9480,4
1332,0
7616,0
17699,0
22928,0
10574,0
9834,0
3847,0
2265,0
23558,0
21111,0
25957,0
18913,0
2024,0
20791,0
1586,0
8794,0
13418,0
15503,0
5456,0
16355,4
27072,0
11769,0
25137,0
9787,0
4284,0
2867,0
3766,0
7238,0
14273,4
22384,0
27969,0
18872,0
24392,0
19426,0
20722,0
5954,2
1018,0
9555,4
1287,4
24224,0
27638,0
15082,4
17736,0
1016,0
28441,0
17478,4
22595,0
8140,0
26770,0
18787,0
24552,0
8408,0
1081,0
12040,0
21761,4
23328,0
16081,0
18390,0
7012,0
569,4
266,0
20457,4
9408,4
17230,4
24865,0
12955,4
23001,0
25032,0
26387,0
22441,0
19389,0
3516,0
3949,0
24454,0
8486,0
23094,0
249,0
17706,0
25693,0
8523,0
16849,4
7921,0
24567,0
11605,0
11097,0
9368,4
23512,0
5605,0
8044,0
19519,0
2752,0
11248,0
3691,0
12549,0
14745,0
14977,0
20703,0
4128,0
17777,0
19186,0
24328,0
15705,0
6059,2
12231,4
7995,0
2539,0
21184,0
