,weather_1h
13674,4
21144,0
23867,0
28082,4
9445,4
4560,0
17652,0
15853,0
22873,0
19517,0
24022,0
19691,0
7503,0
23926,0
13933,0
21290,0
2242,0
26154,0
9387,4
20437,0
20894,0
6871,0
13556,4
21842,1
23344,0
4822,0
16140,4
11208,0
14623,4
21730,4
26616,0
15097,4
25695,0
6979,0
10064,0
3233,0
26260,0
25835,0
23279,0
27678,0
4508,0
10440,0
1933,0
11170,0
16809,4
23371,0
17117,4
22501,0
2372,0
7783,0
25021,0
7106,0
6854,0
23455,0
11222,0
13200,4
8261,0
11872,0
1757,0
13551,4
18090,0
8627,0
23881,0
18933,0
7907,0
10781,0
23646,0
20642,0
5220,0
13937,0
1197,4
9531,4
9463,4
14390,4
4752,0
4997,0
8528,0
3925,0
18040,0
19468,0
11488,0
13507,0
18535,0
26284,0
1009,0
25720,0
16760,4
27444,0
11565,0
11037,0
8371,0
389,4
4351,0
9579,0
25083,0
24183,0
23706,0
17582,0
6828,0
4263,0
17276,4
4751,0
6201,0
19224,0
12579,0
22955,0
28187,0
4624,0
17250,4
8887,0
17994,0
20093,0
14686,0
25564,0
28388,0
4896,0
24541,0
3937,0
19163,0
27673,0
5074,0
15974,0
23765,0
7966,0
2274,0
14068,0
8368,0
3235,0
9992,0
7888,0
23309,0
4706,0
18282,0
1577,0
4778,0
25751,0
2328,0
20418,4
22914,0
27211,0
10673,0
15729,1
12624,0
16574,0
16479,4
18699,0
21546,4
25026,0
9703,0
25224,4
27296,0
10526,0
25964,0
9678,0
1438,0
25949,0
7675,0
18604,0
8594,0
12042,0
23340,0
602,4
6382,0
5604,0
23149,0
8291,0
6752,0
24854,0
2432,0
1709,0
22079,0
27032,0
22961,0
20267,0
9933,0
12674,0
27567,0
20616,0
7915,0
17087,4
22078,0
17448,4
19593,0
21332,1
10727,0
10596,0
23062,0
23907,0
3926,0
26833,0
24518,0
2868,0
8424,2
12557,4
576,4
266,0
767,0
26123,0
5555,0
15433,0
9970,0
6328,0
16412,4
16538,4
3262,0
7416,0
28213,0
21956,1
6804,0
23958,0
24817,0
1721,0
13012,4
19151,0
14177,4
21127,0
27131,0
28336,0
23339,0
21738,4
12363,4
13538,4
19396,0
11304,0
26485,0
2974,0
22788,0
21620,4
16198,4
11575,0
5110,0
2833,0
13022,4
10873,0
13928,0
25932,0
27117,0
18324,0
3430,0
13143,4
18986,0
3506,0
17050,4
15089,4
22141,0
17606,0
6560,4
3976,0
21440,0
4435,0
16267,4
8178,0
8038,0
9170,0
11435,0
22120,0
3975,0
6499,4
8493,0
14668,4
5879,0
7384,0
23756,0
7647,0
19025,0
11929,0
22778,0
13493,0
23436,0
18647,0
20470,4
16301,4
9203,0
555,4
8056,0
20725,0
13374,0
24728,0
16193,4
6982,0
18182,0
4564,0
25741,0
27375,0
15207,0
24513,0
23146,0
17261,4
9550,4
6037,2
4501,0
5660,0
7973,0
22992,0
1490,0
4996,0
19973,1
16440,4
455,4
5071,0
5354,0
17246,4
8989,0
25449,0
6512,4
3712,0
12889,4
13643,4
6994,0
23261,0
15436,0
5033,0
7664,0
25510,0
2362,0
23152,0
4685,0
5393,0
15995,0
17483,4
15750,0
631,4
21317,0
20134,0
21821,4
26826,0
5154,0
9409,4
24698,0
8036,0
28077,4
21159,0
26661,0
11527,0
27954,0
21836,1
27429,0
10373,0
11996,0
3622,0
23225,0
17073,4
16579,0
15774,0
24797,0
21604,4
1356,0
22002,1
17482,4
25509,0
11011,0
16436,4
4326,0
2565,0
26772,0
19189,0
16526,4
210,0
12749,4
101,0
18919,0
22934,0
10582,0
5228,0
25719,0
24004,0
16664,0
6046,4
18291,0
27121,0
23550,0
21554,0
12895,4
8263,0
5641,0
16736,4
20665,0
18593,0
11846,0
15899,0
1019,0
25768,0
15136,4
11301,0
27588,0
941,0
23652,0
21520,0
9701,0
5887,0
11723,0
9971,0
27860,0
381,4
13681,4
7588,0
26069,0
1067,0
22099,0
5755,0
8587,0
5013,0
385,4
3237,0
3381,0
15968,0
11670,0
23721,0
21530,0
15085,4
19496,0
15153,4
11657,0
6154,2
3361,0
5976,4
19093,0
23302,0
21217,4
20828,0
16961,4
21481,0
5965,2
11305,0
5180,0
10579,0
24196,0
24024,0
16799,4
14535,4
3850,0
11184,0
28278,0
10111,0
13250,0
7488,0
2208,0
9029,0
23862,0
28568,0
27764,0
16337,4
16438,4
9745,0
15823,1
3706,0
25351,4
23993,0
27183,0
5320,0
13461,4
25637,0
6734,4
3396,0
14368,4
23369,0
22181,0
10790,0
10992,0
9100,0
21716,0
23303,0
7369,0
11592,0
10223,0
11251,0
23686,0
19028,0
5274,0
14888,0
4400,0
25560,0
8993,0
4145,1
21216,4
10301,0
4107,0
8167,0
14619,4
15815,0
21523,0
16038,0
16015,0
6293,0
8943,0
716,0
15540,0
13875,4
22058,0
16408,4
4493,0
5276,0
5762,0
22143,0
22370,0
14398,4
3387,0
2078,0
21534,0
6124,2
6737,2
459,4
19924,0
27431,0
14659,4
6822,0
25581,0
13309,0
1663,0
13408,0
605,4
25053,0
12569,0
10296,0
24629,0
21602,4
14945,0
20591,4
23345,0
17788,0
8411,0
17567,0
10116,0
5476,0
27460,4
20314,0
26456,0
24822,0
8928,0
17669,0
24667,0
14767,0
6216,0
2609,0
6805,0
14932,0
13395,0
11463,0
3607,0
2269,0
12863,4
19849,0
14531,4
19369,0
10337,0
20789,0
9697,0
18698,0
18571,0
6995,0
3510,0
14038,0
18928,0
13460,4
19287,0
26242,0
23486,0
23805,0
11939,0
201,0
15955,0
7972,0
11450,0
4714,0
14062,0
28384,0
8499,0
17823,1
939,0
27776,0
22667,0
6962,0
19277,0
12946,4
10773,0
7290,0
3660,0
27194,0
3317,0
15286,0
18636,0
24691,0
26399,0
12538,4
26030,0
23919,0
20637,0
1957,0
23191,0
7060,0
3787,0
19720,0
17106,4
13920,0
17078,4
12835,4
14102,0
18627,0
5535,0
22161,0
10533,0
11685,0
4520,0
2098,0
2,0
6309,0
12544,4
9130,0
17360,4
23949,0
902,0
15744,0
18981,0
22012,0
12345,4
11063,0
4719,0
17932,0
11953,0
8666,0
19019,0
13543,4
10534,0
3170,0
1500,0
26823,0
20446,4
13732,4
10288,0
825,0
26176,0
1916,0
25999,0
18574,0
23008,0
17392,4
24403,0
11530,0
26609,0
495,4
20526,4
26550,0
1255,4
24224,0
15883,0
24702,0
23208,0
27163,0
10458,0
76,0
7446,0
271,0
12422,4
15365,0
27667,0
23336,0
19409,1
19037,0
20205,0
1535,0
25308,4
832,0
6391,0
7147,0
4194,0
17006,4
23604,0
21405,0
6803,0
4131,0
24262,0
19290,0
2613,0
24264,0
9033,0
1732,0
6088,2
13119,4
6168,2
6369,0
990,0
5460,0
16905,4
6763,4
12628,1
7861,0
14276,4
3081,0
3347,0
10263,0
